,Volume Requirements Forecast - DC-H - GB (MW),Volume Requirements Forecast - DC-L - GB (MW),Volume Requirements Forecast - DR-H - GB (MW),Volume Requirements Forecast - DR-L - GB (MW),Volume Requirements Forecast - DM-H - GB (MW),Volume Requirements Forecast - DM-L - GB (MW),Ancillary Volume Accepted - DC-H - GB (MW),Ancillary Volume Accepted - DC-L - GB (MW),Ancillary Volume Accepted - DR-H - GB (MW),Ancillary Volume Accepted - DR-L - GB (MW),Ancillary Volume Accepted - DM-H - GB (MW),Ancillary Volume Accepted - DM-L - GB (MW),Ancillary Price - DC-H - GB (£/MW/h),Ancillary Price - DC-L - GB (£/MW/h),Ancillary Price - DR-H - GB (£/MW/h),Ancillary Price - DR-L - GB (£/MW/h),Ancillary Price - DM-H - GB (£/MW/h),Ancillary Price - DM-L - GB (£/MW/h),"Day Ahead Price (N2EX, local) - GB (£/MWh)_min","Day Ahead Price (N2EX, local) - GB (£/MWh)_max","Day Ahead Price (N2EX, local) - GB (£/MWh)_mean","Day Ahead Price (N2EX, local) - GB (£/MWh)_std","Day Ahead Price (EPEX, local) - GB (£/MWh)_min","Day Ahead Price (EPEX, local) - GB (£/MWh)_max","Day Ahead Price (EPEX, local) - GB (£/MWh)_mean","Day Ahead Price (EPEX, local) - GB (£/MWh)_std","Day Ahead Price (EPEX half-hourly, local) - GB (£/MWh)_timeslot_0","Day Ahead Price (EPEX half-hourly, local) - GB (£/MWh)_timeslot_1","Day Ahead Price (EPEX half-hourly, local) - GB (£/MWh)_timeslot_2","Day Ahead Price (EPEX half-hourly, local) - GB (£/MWh)_timeslot_3","Day Ahead Price (EPEX half-hourly, local) - GB (£/MWh)_timeslot_4","Day Ahead Price (EPEX half-hourly, local) - GB (£/MWh)_timeslot_5","Day Ahead Price (EPEX half-hourly, local) - GB (£/MWh)_timeslot_6","Day Ahead Price (EPEX half-hourly, local) - GB (£/MWh)_timeslot_7",National Demand Forecast (NDF) - GB (MW)_timeslot_0,National Demand Forecast (NDF) - GB (MW)_timeslot_1,National Demand Forecast (NDF) - GB (MW)_timeslot_2,National Demand Forecast (NDF) - GB (MW)_timeslot_3,National Demand Forecast (NDF) - GB (MW)_timeslot_4,National Demand Forecast (NDF) - GB (MW)_timeslot_5,National Demand Forecast (NDF) - GB (MW)_timeslot_6,National Demand Forecast (NDF) - GB (MW)_timeslot_7,"Day Ahead Price (N2EX, local) - GB (£/MWh)_timeslot_0","Day Ahead Price (N2EX, local) - GB (£/MWh)_timeslot_1","Day Ahead Price (N2EX, local) - GB (£/MWh)_timeslot_2","Day Ahead Price (N2EX, local) - GB (£/MWh)_timeslot_3","Day Ahead Price (EPEX, local) - GB (£/MWh)_timeslot_0","Day Ahead Price (EPEX, local) - GB (£/MWh)_timeslot_1","Day Ahead Price (EPEX, local) - GB (£/MWh)_timeslot_2","Day Ahead Price (EPEX, local) - GB (£/MWh)_timeslot_3"
2023-01-01 23:00:00,640.0,655.0,80,80,80.0,80,788,659,98.0,17.0,66.0,,1.1,2.55,1.58,6.0,6.95,,,,,,,,,,,,,,,,,,,,,,,,,,150.03,185.25,192.79,164.7,150.0,145.1,146.1,138.0
2023-01-02 03:00:00,711.0,618.0,80,80,80.0,80,839,908,98.0,17.0,54.0,,5.46,2.9,3.08,3.0,7.5,,121.43,244.99,164.28,29.22,123.6,248.0,163.7,30.56,,,,,,,,,,,,,,,,,147.38,121.43,125.27,139.96,128.2,128.2,133.6,150.0
2023-01-02 07:00:00,749.0,648.0,80,80,80.0,80,741,821,95.0,15.0,74.0,,1.1,3.0,2.03,4.0,5.78,,121.43,244.99,164.28,29.22,123.6,248.0,163.7,30.56,,,,,,,,,,,,,,,,,125.91,142.1,160.76,157.96,123.6,142.1,161.8,168.0
2023-01-02 11:00:00,669.0,589.0,80,80,80.0,80,608,715,95.0,15.0,70.0,,1.0,2.55,1.94,8.0,7.5,,121.43,244.99,164.28,29.22,123.6,248.0,163.7,30.56,,,,,,,,,,,,,,,,,166.32,160.0,165.0,161.14,168.0,174.0,170.0,168.2
2023-01-02 15:00:00,470.0,517.0,80,80,80.0,80,662,742,57.0,15.0,74.0,,2.13,8.25,25.0,14.0,6.5,,121.43,244.99,164.28,29.22,123.6,248.0,163.7,30.56,,,,,,,,,,,,,,,,,151.38,200.0,244.99,214.93,171.4,215.7,248.0,215.4
2023-01-02 19:00:00,450.0,538.0,80,80,80.0,80,769,639,70.0,10.0,75.0,,1.66,2.55,22.0,6.0,6.78,,121.43,244.99,164.28,29.22,123.6,248.0,163.7,30.56,,,,,,,,,,,,,,,,,183.0,156.45,174.0,132.06,183.0,153.4,170.0,139.0
2023-01-02 23:00:00,522.0,617.0,80,80,80.0,80,806,794,100.0,22.0,59.0,,1.96,2.55,0.0,10.4,7.88,,121.43,244.99,164.28,29.22,123.6,248.0,163.7,30.56,180.0,148.0,146.4,181.0,183.0,159.4,164.1,161.0,23526.0,22800.0,22500.0,22900.0,22732.0,22083.0,21441.0,21025.0,169.99,158.54,149.92,94.88,188.0,167.1,160.0,119.6
2023-01-03 03:00:00,713.0,822.0,80,80,80.0,80,815,800,100.0,22.0,59.0,,5.45,2.55,0.0,11.6,7.5,,62.98,162.99,137.91,29.99,56.7,170.1,141.88,29.45,147.0,140.18,130.0,122.0,130.0,130.0,148.0,144.2,20098.0,19663.0,19216.0,19200.0,19667.0,20259.0,21519.0,22515.0,87.8,98.23,118.37,147.2,101.0,105.6,122.9,157.4
2023-01-03 07:00:00,806.0,875.0,80,80,80.0,80,582,662,100.0,22.0,74.0,,0.8,2.55,0.0,14.28,6.4,,62.98,162.99,137.91,29.99,56.7,170.1,141.88,29.45,126.5,136.0,137.8,150.6,157.2,166.0,154.4,154.0,23333.0,23795.0,24919.0,26000.0,26860.0,27621.0,28200.0,28353.0,147.4,157.9,162.99,162.63,142.0,154.8,158.3,161.0
2023-01-03 11:00:00,677.0,759.0,80,80,80.0,80,428,577,100.0,22.0,69.0,,0.53,1.28,0.0,17.4,7.5,,62.98,162.99,137.91,29.99,56.7,170.1,141.88,29.45,150.0,162.0,156.0,156.8,160.0,153.9,153.4,150.0,28795.0,28905.0,29100.0,29089.0,28603.0,28600.0,28810.0,29136.0,156.0,151.48,155.43,159.94,156.0,163.4,157.9,157.4
